Bahan Pangan,Ciri Fisik
Jus jeruk Varian-912,Rasa asam mencolok (Ciri-912)
Daging sapi Varian-913,Tekstur keras abnormal (Ciri-913)
Ikan tuna Varian-914,Tekstur licin tanpa lendir (Ciri-914)
Daun salam Varian-915,Bau asam aneh (Ciri-915)
Bakso ikan Varian-916,Rasa pahit tidak wajar (Ciri-916)
Daging kambing Varian-917,Bau kimia menyengat (Ciri-917)
Paprika Varian-918,Warna belang aneh (Ciri-918)
Seledri Varian-919,Rasa getir (Ciri-919)
Durian Varian-920,Tekstur terlalu kenyal (Ciri-920)
Daun jeruk Varian-921,Bau asam aneh (Ciri-921)
Nangka Varian-922,Tekstur terlalu kenyal (Ciri-922)
Daun salam Varian-923,Tidak hancur saat diremas (Ciri-923)
Mie instan Varian-924,Warna neon menyilaukan (Ciri-924)
Tahu putih Varian-925,Bau deterjen (Ciri-925)
Sawi Varian-926,Tekstur terlalu kenyal (Ciri-926)
Daging sapi Varian-927,Warna neon menyilaukan (Ciri-927)
Paprika Varian-928,Tekstur lembek tak wajar (Ciri-928)
Minuman soda Varian-929,Bau deterjen (Ciri-929)
Cengkeh Varian-930,Rasa asam mencolok (Ciri-930)
Ikan lele Varian-931,Tidak hancur saat diremas (Ciri-931)
Belimbing Varian-932,Rasa getir (Ciri-932)
Alpukat Varian-933,Tekstur licin tanpa lendir (Ciri-933)
Mie instan Varian-934,Rasa asin berlebih (Ciri-934)
Nanas Varian-935,Tekstur terlalu kenyal (Ciri-935)
Serai Varian-936,Tidak hancur saat diremas (Ciri-936)
Lobak Varian-937,Tekstur terlalu kenyal (Ciri-937)
Jahe Varian-938,Tekstur lembek tak wajar (Ciri-938)
Rambutan Varian-939,Rasa asin berlebih (Ciri-939)
Kubis Varian-940,Bau kimia menyengat (Ciri-940)
Tahu putih Varian-941,Tekstur lembek tak wajar (Ciri-941)
Semangka Varian-942,Warna terlalu cerah (Ciri-942)
Daun salam Varian-943,Tidak berlendir setelah lama (Ciri-943)
Tempe Varian-944,Bau busuk tersembunyi (Ciri-944)
Pepaya Varian-945,Warna neon menyilaukan (Ciri-945)
Rambutan Varian-946,Bau deterjen (Ciri-946)
Labu siam Varian-947,Warna neon menyilaukan (Ciri-947)
Kepiting Varian-948,Warna tidak alami (Ciri-948)
Lobak Varian-949,Bau asam aneh (Ciri-949)
Anggur Varian-950,Bau kimia menyengat (Ciri-950)
Daun bawang Varian-951,Warna belang aneh (Ciri-951)
Kepiting Varian-952,Bau asam aneh (Ciri-952)
Daging kambing Varian-953,Rasa asin berlebih (Ciri-953)
Mentimun Varian-954,Tekstur licin tanpa lendir (Ciri-954)
Lengkuas Varian-955,Warna neon menyilaukan (Ciri-955)
Sirup merah Varian-956,Tidak berlendir setelah lama (Ciri-956)
Bakso ikan Varian-957,Rasa pahit tidak wajar (Ciri-957)
Kopi susu Varian-958,Rasa asam mencolok (Ciri-958)
Nanas Varian-959,Tetap segar aneh (Ciri-959)
Kubis Varian-960,Bau asam aneh (Ciri-960)
Melon Varian-961,Tekstur lembek tak wajar (Ciri-961)
Blueberry Varian-962,Warna tidak alami (Ciri-962)
Daging kambing Varian-963,Bau deterjen (Ciri-963)
Daging kambing Varian-964,Warna terlalu cerah (Ciri-964)
Selada Varian-965,Rasa asin berlebih (Ciri-965)
Lengkuas Varian-966,Rasa asam mencolok (Ciri-966)
Sirsak Varian-967,Tidak hancur saat diremas (Ciri-967)
Nangka Varian-968,Warna belang aneh (Ciri-968)
Melon Varian-969,Bau asam aneh (Ciri-969)
Udang Varian-970,Warna tidak alami (Ciri-970)
Jinten Varian-971,Tidak basi setelah 3 hari (Ciri-971)
Tomat Varian-972,Tekstur licin tanpa lendir (Ciri-972)
Air mineral Varian-973,Warna tidak alami (Ciri-973)
Daun bawang Varian-974,Tekstur keras abnormal (Ciri-974)
Serai Varian-975,Warna terlalu cerah (Ciri-975)
Kubis Varian-976,Warna tidak alami (Ciri-976)
Tahu kuning Varian-977,Tekstur licin tanpa lendir (Ciri-977)
Belimbing Varian-978,Tetap segar aneh (Ciri-978)
Tahu kuning Varian-979,Warna neon menyilaukan (Ciri-979)
Ikan lele Varian-980,Rasa asam mencolok (Ciri-980)
Jahe Varian-981,Bau asam aneh (Ciri-981)
Kayu manis Varian-982,Tetap segar aneh (Ciri-982)
Udang Varian-983,Tekstur terlalu kenyal (Ciri-983)
Kangkung Varian-984,Rasa pahit tidak wajar (Ciri-984)
Durian Varian-985,Rasa asin berlebih (Ciri-985)
Sirup merah Varian-986,Warna neon menyilaukan (Ciri-986)
Mie instan Varian-987,Warna terlalu cerah (Ciri-987)
Serai Varian-988,Tidak basi setelah 3 hari (Ciri-988)
Jus jeruk Varian-989,Tidak basi setelah 3 hari (Ciri-989)
Melon Varian-990,Tidak hancur saat diremas (Ciri-990)
Paprika Varian-991,Bau deterjen (Ciri-991)
Seledri Varian-992,Rasa asin berlebih (Ciri-992)
Asparagus Varian-993,Warna belang aneh (Ciri-993)
Nugget ayam Varian-994,Rasa pahit tidak wajar (Ciri-994)
Jeruk Varian-995,Tekstur licin tanpa lendir (Ciri-995)
Sawi Varian-996,Bau asam aneh (Ciri-996)
Sirsak Varian-997,Rasa asam mencolok (Ciri-997)
Wortel Varian-998,Rasa asam mencolok (Ciri-998)
Tahu kuning Varian-999,Tekstur keras abnormal (Ciri-999)
Bayam Varian-1000,Tidak berlendir setelah lama (Ciri-1000)
